id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
132	rejeb (2020)	"<table><tr><td>Authors:</td><td>rejeb, oussama; shittu, samson; ghenai, chaouki; li, guiqiang; zhao, xudong; bettayeb, maamar</td></tr><tr><td>Title:</td><td>optimization and performance analysis of a solar concentrated photovoltaic-thermoelectric (cpv-te) hybrid system</td></tr><tr><td>Source:</td><td>renewable energy, 152</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2020.02.007	0.3969	-0.649	11	2	1	1.8302	2020	1	1.8302
138	soini (2020)	"<table><tr><td>Authors:</td><td>soini, martin christoph; parra, david; patel, martin kumar</td></tr><tr><td>Title:</td><td>impact of prosumer battery operation on the cost of power supply</td></tr><tr><td>Source:</td><td>journal of energy storage, 29</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.est.2020.101323	-1.3639	-0.4593	1	3	0	0	2020	0	0
146	wang (2020)	"<table><tr><td>Authors:</td><td>wang, fei; xuan, zhiming; zhen, zhao; li, kangping; wang, tieqiang; shi, min</td></tr><tr><td>Title:</td><td>a day-ahead pv power forecasting method based on lstm-rnn model and time correlation modification under partial daily pattern prediction framework</td></tr><tr><td>Source:</td><td>energy conversion and management, 212</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2020.112766	-0.2427	0.2377	5	13	3	5.4906	2020	3	5.4906
159	sharadga (2020)	"<table><tr><td>Authors:</td><td>sharadga, hussein; hajimirza, shima; balog, robert s.</td></tr><tr><td>Title:</td><td>time series forecasting of solar power generation for large-scale photovoltaic plants</td></tr><tr><td>Source:</td><td>renewable energy, 150</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2019.12.131	-0.0019	0.0923	18	3	0	0	2020	0	0
169	müller (2020)	"<table><tr><td>Authors:</td><td>müller, jonas; trutnevyte, evelina</td></tr><tr><td>Title:</td><td>spatial projections of solar pv installations at subnational level: accuracy testing of regression models</td></tr><tr><td>Source:</td><td>applied energy, 265</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.114747	-0.4646	1.0295	7	3	0	0	2020	0	0
171	reimuth (2020a)	"<table><tr><td>Authors:</td><td>reimuth, andrea; locherer, veronika; danner, martin; mauser, wolfram</td></tr><tr><td>Title:</td><td>how do changes in climate and consumption loads affect residential pv coupled battery energy systems?</td></tr><tr><td>Source:</td><td>energy, 198</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.energy.2020.117339	-1.3081	-0.4442	20	4	0	0	2020	0	0
215	prina (2020)	"<table><tr><td>Authors:</td><td>prina, matteo giacomo; casalicchio, valeria; kaldemeyer, cord; manzolini, giampaolo; moser, david; wanitschke, alexander; sparber, wolfram</td></tr><tr><td>Title:</td><td>multi-objective investment optimization for energy system models in high temporal and spatial resolution</td></tr><tr><td>Source:</td><td>applied energy, 264</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.114728	-0.4891	1.15	19	6	0	0	2020	0	0
216	ghenai (2020)	"<table><tr><td>Authors:</td><td>ghenai, chaouki; salameh, tareq; merabet, adel</td></tr><tr><td>Title:</td><td>technico-economic analysis of off grid solar pv/fuel cell energy system for residential community in desert region</td></tr><tr><td>Source:</td><td>international journal of hydrogen energy, 45</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ijhydene.2018.05.110	1.3201	0.2945	3	3	15	27.4528	2020	15	27.4528
217	samy (2020)	"<table><tr><td>Authors:</td><td>samy, m. m.; barakat, s.; ramadan, h. s.</td></tr><tr><td>Title:</td><td>techno-economic analysis for rustic electrification in egypt using multi-source renewable energy based on pv/ wind/ fc</td></tr><tr><td>Source:</td><td>international journal of hydrogen energy, 45</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ijhydene.2019.04.038	1.3113	0.2823	3	5	3	5.4906	2020	3	5.4906
220	zhang (2020)	"<table><tr><td>Authors:</td><td>zhang, caigui; chen, zhicong; wu, lijun; cheng, shuying; lin, peijie</td></tr><tr><td>Title:</td><td>a nb-iot based intelligent combiner box for pv arrays integrated with short-term power prediction using extreme learning machine and similar days</td></tr><tr><td>Source:</td><td>iop conference series: earth and environmental science, 467</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1088/1755-1315/467/1/012081	-0.2891	0.2048	22	5	0	0	2020	0	0
242	ali jallal (2020)	"<table><tr><td>Authors:</td><td>ali jallal, mohammed; chabaa, samira; zeroual, abdelouhab</td></tr><tr><td>Title:</td><td>a novel deep neural network based on randomly occurring distributed delayed pso algorithm for monitoring the energy produced by four dual-axis solar trackers</td></tr><tr><td>Source:</td><td>renewable energy, 149</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2019.10.117	-0.4967	0.0175	22	4	2	3.6604	2020	2	3.6604
244	heinrich (2020)	"<table><tr><td>Authors:</td><td>heinrich, matthias; meunier, simon; samé, allou; quéval, loïc; darga, arouna; oukhellou, latifa; multon, bernard</td></tr><tr><td>Title:</td><td>detection of cleaning interventions on photovoltaic modules with machine learning</td></tr><tr><td>Source:</td><td>applied energy, 263</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.114642	0.6867	-0.4028	40	8	0	0	2020	0	0
288	zhao (2020)	"<table><tr><td>Authors:</td><td>zhao, haibo; dong, xiaoyang; wang, ai; wang, zheng; zhang, yanhui; zhang, zhi; dong, xia; song, xiaojun; wang, yaju; xing, yahong</td></tr><tr><td>Title:</td><td>interval prediction of photovoltaic power generation based on cloud theory</td></tr><tr><td>Source:</td><td>iop conference series: earth and environmental science, 446</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1088/1755-1315/446/4/042014	-0.0624	0.1848	30	2	0	0	2020	0	0
289	singh (2020)	"<table><tr><td>Authors:</td><td>singh, shakti; chauhan, prachi; singh, nirbhow jap</td></tr><tr><td>Title:</td><td>capacity optimization of grid connected solar/fuel cell energy system using hybrid abc-pso algorithm</td></tr><tr><td>Source:</td><td>international journal of hydrogen energy, 45</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ijhydene.2020.02.018	1.3166	0.2956	3	3	1	1.8302	2020	1	1.8302
296	walch (2020)	"<table><tr><td>Authors:</td><td>walch, alina; castello, roberto; mohajeri, nahid; scartezzini, jean louis</td></tr><tr><td>Title:</td><td>big data mining for the estimation of hourly rooftop photovoltaic potential and its uncertainty</td></tr><tr><td>Source:</td><td>applied energy, 262</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2019.114404	-0.4405	1.0188	7	8	3	5.4906	2020	3	5.4906
299	zhang (2020a)	"<table><tr><td>Authors:</td><td>zhang, yiying; jin, zhigang; zhao, xiaofang; yang, qiuling</td></tr><tr><td>Title:</td><td>backtracking search algorithm with lévy flight for estimating parameters of photovoltaic models</td></tr><tr><td>Source:</td><td>energy conversion and management, 208</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2020.112615	0.4625	-0.1311	2	11	1	1.8302	2020	1	1.8302
